   12.9000111      -1.27438426      -7.85204077       143.600006    
   12.9000111      -1.53947663      -8.09204960       179.499359    
   12.9000111      -1.06511259      -7.53644943       215.398712    
   12.9000111      -1.71597934      -8.12109852       251.298065    
   12.9000111      -1.52403641      -7.91102219       287.198730    
   12.9000111     -0.711408377      -7.47883892       323.099609    
   12.9000111     -0.761349499      -7.34762192       359.000488    
   13.0000114      0.954929650       0.00000000    
   13.0000114      -1.88817346      -8.35153103       35.8999863    
   13.0000114      -1.64689958      -8.25535488       71.8001022    
   13.0000114      -1.15714025      -7.76231384       107.700218    
   13.0000114     -0.472740740      -8.00909805       143.600006    
   13.0000114     -0.857050776      -7.62727928       179.499359    
   13.0000114     -0.722703338      -7.67473984       215.398712    
   13.0000114      -1.27854991      -7.70568323       251.298065    
   13.0000114      -1.20410597      -7.55357122       287.198730    
   13.0000114     -0.579607546      -7.64314222       323.099609    
   13.0000114     -0.773968637      -7.35041618       359.000488    
   13.1000118      0.954929650       0.00000000    
   13.1000118     -0.642255247      -7.89391470       35.8999863    
   13.1000118     -0.596625328      -7.93001795       71.8001022    
   13.1000118      -1.81634438      -8.32581329       107.700218    
   13.1000118      -1.20460725      -7.79802322       143.600006    
   13.1000118      -1.75002372      -8.25423622       179.499359    
   13.1000118      -1.71205032      -8.19640255       215.398712    
   13.1000118     -0.909952223      -7.49118805       251.298065    
   13.1000118     -0.975309491      -7.39071465       287.198730    
   13.1000118     -0.533887029      -7.71035671       323.099609    
   13.1000118     -0.838288367      -7.31034803       359.000488    
   13.2000122      0.954929650       0.00000000    
   13.2000122     -0.786915660      -7.77955914       35.8999863    
   13.2000122     -0.875606418      -7.72424650       71.8001022    
   13.2000122     -0.840944529      -7.72159815       107.700218    
   13.2000122     -0.338449061      -8.14995575       143.600006    
   13.2000122      -1.01427889      -7.59709454       179.499359    
   13.2000122      -1.18409193      -7.69285440       215.398712    
   13.2000122     -0.675451219      -7.68065357       251.298065    
   13.2000122     -0.850113690      -7.46679878       287.198730    
   13.2000122     -0.435248941      -7.83327770       323.099609    
   13.2000122     -0.906976402      -7.29089165       359.000488    
   13.3000126      0.954929650       0.00000000    
   13.3000126     -0.899334490      -7.73419523       35.8999863    
   13.3000126      -1.26888287      -7.93415165       71.8001022    
   13.3000126      -1.48658776      -8.14136696       107.700218    
   13.3000126      -1.17498767      -7.78961372       143.600006    
   13.3000126     -0.471595109      -8.00646400       179.499359    
   13.3000126     -0.773854494      -7.66469049       215.398712    
   13.3000126      -1.86579776      -8.21905231       251.298065    
   13.3000126     -0.652647197      -7.66148567       287.198730    
   13.3000126     -0.198721007      -8.05621338       323.099609    
   13.3000126     -0.921287835      -7.29736900       359.000488    
   13.4000130      0.954929650       0.00000000    
   13.4000130      -1.05611765      -7.74011898       35.8999863    
   13.4000130      -1.67807329      -8.30830860       71.8001022    
   13.4000130     -0.296407282      -8.21742630       107.700218    
   13.4000130     -0.140098870      -8.29826546       143.600006    
   13.4000130      -1.37997353      -7.98648977       179.499359    
   13.4000130      -1.74967384      -8.24121952       215.398712    
   13.4000130      -1.42872846      -7.92781305       251.298065    
   13.4000130      -8.53511021E-02  -8.17086601       287.198730    
   13.4000130      -1.82120144      -8.12180519       323.099609    
   13.4000130     -0.908222139      -7.32127428       359.000488    
   13.5000134      0.954929650       0.00000000    
   13.5000134      -1.47507787      -8.17215633       35.8999863    
   13.5000134     -0.683321416      -7.88481951       71.8001022    
   13.5000134     -0.936651289      -7.72664833       107.700218    
   13.5000134      -1.16253018      -7.79923105       143.600006    
   13.5000134     -0.840315580      -7.69236422       179.499359    
   13.5000134      -1.44732356      -8.02044487       215.398712    
   13.5000134      -1.17868006      -7.65579033       251.298065    
   13.5000134      -1.90842223      -8.20173836       287.198730    
   13.5000134      -1.96391034      -8.15747833       323.099609    
   13.5000134      -1.09320462      -7.36039400       359.000488    
   13.6000137      0.954929650       0.00000000    
   13.6000137      -1.62615323      -8.30027294       35.8999863    
   13.6000137     -0.917466044      -7.75228167       71.8001022    
   13.6000137      -1.68010092      -8.31326962       107.700218    
   13.6000137     -0.423453510      -8.10795879       143.600006    
   13.6000137      -1.79502499      -8.31288815       179.499359    
   13.6000137     -0.907208323      -7.62437534       215.398712    
   13.6000137     -0.881293654      -7.56359959       251.298065    
   13.6000137      -1.69974673      -8.13823318       287.198730    
   13.6000137      -1.96668339      -8.16718960       323.099609    
   13.6000137      -1.28054988      -7.58486032       359.000488    
   13.7000141      0.954929650       0.00000000    
   13.7000141      -1.75998032      -8.37747860       35.8999863    
   13.7000141      -1.46624732      -8.17386532       71.8001022    
   13.7000141     -0.818383396      -7.78476143       107.700218    
   13.7000141      -1.18298149      -7.84280634       143.600006    
   13.7000141      -1.08976185      -7.71052170       179.499359    
   13.7000141     -0.434080064      -8.03914070       215.398712    
   13.7000141     -0.618102193      -7.79596233       251.298065    
   13.7000141      -1.52256262      -8.00662327       287.198730    
   13.7000141      -1.86390829      -8.16558075       323.099609    
   13.7000141      -1.39531958      -7.74075079       359.000488    
   13.8000145      0.954929650       0.00000000    
   13.8000145     -0.594424844      -8.00146675       35.8999863    
   13.8000145      -1.79058552      -8.38463497       71.8001022    
   13.8000145      -1.44952512      -8.15344715       107.700218    
   13.8000145     -0.615534365      -7.94061470       143.600006    
   13.8000145     -0.778475940      -7.76309919       179.499359    
   13.8000145      -1.73396599      -8.27167416       215.398712    
   13.8000145     -0.395894140      -8.03419018       251.298065    
   13.8000145      -1.52173042      -8.01665878       287.198730    
   13.8000145     -0.252130061      -8.06814480       323.099609    
   13.8000145      -1.69200420      -8.04278660       359.000488    
   13.9000149      0.954929650       0.00000000    
   13.9000149     -0.789151967      -7.84388208       35.8999863    
   13.9000149     -0.809969187      -7.82219982       71.8001022    
   13.9000149     -0.424863100      -8.14776993       107.700218    
   13.9000149      -1.42523897      -8.11735153       143.600006    
   13.9000149      -1.65495753      -8.27489090       179.499359    
   13.9000149      -1.25810957      -7.85796976       215.398712    
   13.9000149      -1.70141160      -8.21437263       251.298065    
   13.9000149      -1.30934751      -7.79625416       287.198730    
   13.9000149     -0.108429551      -8.16246700       323.099609    
